fighter,total_fights,wins,losses,win_rate,ko_wins,sub_wins,dec_wins,ko_losses,sub_losses,dec_losses,ko_rate,sub_rate,dec_rate,finish_rate,current_streak,best_win_streak,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,sub_avg,height,reach,age,stance,wc_ranked,current_rank
Abus Magomedov,7,4,3,0.5714285714285714,1,1,2,1,1,1,0.25,0.25,0.5,0.5,1,3,3.07,0.49,3.43,0.55,2.61,0.59,1.0,0.4,74.0,78.0,35.5,0.0,,99.0
Tre'ston Vines,1,0,1,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,-1,0,0.0,0.0,3.56,0.5,0.0,0.0,0.0,0.0,73.0,79.0,29.7,0.0,,99.0
Daniel Santos,5,4,1,0.8,2,0,2,0,0,1,0.5,0.0,0.5,0.5,-1,4,4.76,0.4,5.03,0.51,3.01,0.4,0.73,0.0,67.0,67.0,30.9,0.0,,99.0
JooSang Yoo,2,1,1,0.5,1,0,0,1,0,0,1.0,0.0,0.0,1.0,1,1,6.36,0.58,4.99,0.56,0.0,0.0,0.5,0.0,67.0,71.0,32.1,0.0,,99.0
Patchy Mix,2,0,2,0.0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-2,0,5.3,0.43,7.3,0.43,2.5,0.62,0.0,0.0,71.0,70.0,32.5,1.0,,99.0
Edmen Shahbazyan,14,9,5,0.6428571428571429,6,1,2,3,1,1,0.6666666666666666,0.1111111111111111,0.2222222222222222,0.7777777777777778,4,4,3.8,0.48,3.6,0.49,1.62,0.37,0.66,0.4,74.0,75.0,28.2,0.0,,99.0
Andre Muniz,10,6,4,0.6,0,3,3,3,1,0,0.0,0.5,0.5,0.5,5,5,2.08,0.48,2.46,0.51,3.98,0.48,0.35,1.1,73.0,78.0,36.0,1.0,,99.0
Punahele Soriano,10,6,4,0.6,4,0,2,1,1,2,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,2,3,4.66,0.54,3.42,0.47,1.83,0.48,0.4,0.1,71.0,72.0,33.2,1.0,,99.0
Macy Chiasson,13,8,5,0.6153846153846154,3,2,3,1,1,3,0.375,0.25,0.375,0.625,3,3,3.5,0.46,2.86,0.45,2.07,0.37,0.72,0.4,71.0,72.0,34.6,0.0,Women's Bantamweight,7.0
Yana Santos,12,7,5,0.5833333333333334,0,0,7,3,0,2,0.0,0.0,1.0,0.0,-1,3,4.41,0.57,3.12,0.52,0.78,0.47,0.51,0.1,66.0,68.0,36.3,0.0,Women's Bantamweight,5.0
Chris Gutierrez,15,11,4,0.7333333333333333,3,0,8,0,1,3,0.2727272727272727,0.0,0.7272727272727273,0.2727272727272727,-1,8,4.4,0.57,2.65,0.63,0.3,0.3,0.67,0.1,69.0,67.0,34.8,0.0,,99.0
Ramiz Brahimaj,8,5,3,0.625,1,4,0,1,0,2,0.2,0.8,0.0,1.0,-1,3,2.23,0.46,3.42,0.44,1.74,0.38,0.48,2.0,70.0,72.0,33.2,0.0,,99.0
Austin Vanderford,2,1,1,0.5,1,0,0,0,1,0,1.0,0.0,0.0,1.0,1,1,3.04,0.59,2.71,0.48,3.08,0.35,1.0,1.2,71.0,74.0,35.9,0.0,,99.0
Brogan Walker,3,0,3,0.0,0,0,0,1,0,2,0.0,0.0,0.0,0.0,-3,0,1.84,0.32,3.32,0.47,1.02,0.75,0.11,0.0,64.0,67.0,37.5,2.0,,99.0
Veronica Hardy,10,5,5,0.5,0,1,4,1,1,3,0.0,0.2,0.8,0.2,-3,3,3.06,0.45,3.24,0.5,0.82,0.41,0.51,0.3,64.0,64.0,30.3,1.0,,99.0
Carlos Ulberg,10,9,1,0.9,5,1,3,1,0,0,0.5555555555555556,0.1111111111111111,0.3333333333333333,0.6666666666666666,-1,9,6.54,0.55,4.04,0.51,0.55,0.6,0.85,0.2,76.0,77.0,35.3,0.0,Light Heavyweight,3.0
Dominick Reyes,14,9,5,0.6428571428571429,6,1,2,4,0,1,0.6666666666666666,0.1111111111111111,0.2222222222222222,0.7777777777777778,6,6,5.39,0.54,3.49,0.49,0.29,0.28,0.82,0.3,76.0,77.0,36.1,1.0,Light Heavyweight,9.0
Jimmy Crute,12,8,4,0.6666666666666666,2,4,2,2,2,0,0.25,0.5,0.25,0.75,2,3,4.15,0.52,3.65,0.42,4.39,0.52,0.58,2.0,74.0,74.0,30.0,0.0,,99.0
Ivan Erslan,3,0,3,0.0,0,0,0,0,1,2,0.0,0.0,0.0,0.0,-3,0,2.55,0.46,5.01,0.53,0.45,0.2,0.61,0.0,74.0,72.0,34.3,0.0,,99.0
Ramon Taveras,3,1,2,0.3333333333333333,0,0,1,0,0,2,0.0,0.0,1.0,0.0,1,1,4.07,0.43,6.45,0.54,0.0,0.0,0.72,0.0,68.0,70.0,32.1,1.0,,99.0
Jack Jenkins,6,4,2,0.6666666666666666,1,0,3,1,1,0,0.25,0.0,0.75,0.25,2,2,4.48,0.61,2.95,0.59,1.98,0.6,0.71,0.2,67.0,68.0,32.3,2.0,,99.0
Jake Matthews,23,15,8,0.6521739130434783,2,6,7,1,4,3,0.13333333333333333,0.4,0.4666666666666667,0.5333333333333333,2,3,3.34,0.43,2.62,0.6,1.44,0.41,0.64,0.8,71.0,73.0,31.5,0.0,,99.0
Tom Nolan,5,4,1,0.8,1,1,2,1,0,0,0.25,0.25,0.5,0.5,-1,4,5.87,0.45,4.73,0.48,0.74,0.22,0.71,1.9,75.0,73.0,25.9,1.0,,99.0
Charlie Campbell,3,2,1,0.6666666666666666,1,0,1,0,1,0,0.5,0.0,0.5,0.5,2,2,5.23,0.51,4.17,0.55,2.45,0.36,0.62,0.0,72.0,72.0,30.6,0.0,,99.0
Rodolfo Bellato,4,1,3,0.25,1,0,0,0,0,2,1.0,0.0,0.0,1.0,1,1,5.13,0.59,5.86,0.46,1.44,0.35,0.94,0.2,75.0,75.0,30.0,0.0,,99.0
Navajo Stirling,3,3,0,1.0,0,0,3,0,0,0,0.0,0.0,1.0,0.0,3,3,6.13,0.52,2.6,0.58,1.15,0.28,0.75,0.0,76.0,79.0,28.3,0.0,,99.0
Andre Petroski,12,8,4,0.6666666666666666,1,2,5,3,0,1,0.125,0.25,0.625,0.375,5,5,2.81,0.49,2.79,0.53,3.15,0.51,0.86,1.3,72.0,73.0,34.7,2.0,,99.0
Rolando Bedoya,4,0,4,0.0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,-4,0,6.23,0.47,5.5,0.52,0.0,0.0,0.75,0.2,71.0,74.0,29.1,0.0,,99.0
Colby Thicknesse,2,1,1,0.5,0,0,1,0,0,1,0.0,0.0,1.0,0.0,-1,1,3.33,0.42,2.8,0.5,1.0,0.09,0.5,0.5,67.0,69.0,26.7,0.0,,99.0
Josias Musasa,2,0,2,0.0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,-2,0,3.19,0.45,4.39,0.36,0.9,0.5,0.81,0.5,68.0,74.0,27.4,1.0,,99.0
Michelle Montague,1,1,0,1.0,0,0,1,0,0,0,0.0,0.0,1.0,0.0,1,1,2.73,0.46,3.2,0.41,5.0,0.71,0.0,0.0,69.0,68.0,32.2,1.0,,99.0
Luana Carolina,10,6,4,0.6,1,0,5,1,1,2,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,1,3,4.65,0.51,3.46,0.51,0.3,0.37,0.68,0.6,66.0,69.0,32.7,0.0,,99.0
Brando Pericic,1,1,0,1.0,1,0,0,0,0,0,1.0,0.0,0.0,1.0,1,1,15.13,0.59,1.57,0.66,0.0,0.0,1.0,0.0,77.0,79.0,31.5,0.0,,99.0
Elisha Ellison,1,0,1,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,-1,0,1.57,0.33,15.13,0.4,0.0,0.0,0.0,0.0,72.0,78.0,29.0,0.0,,99.0
Alexia Thainara,2,2,0,1.0,0,1,1,0,0,0,0.0,0.5,0.5,0.5,2,2,4.52,0.4,2.46,0.65,3.91,0.6,1.0,1.7,64.0,67.0,30.2,0.0,Women's Strawweight,15.0
Loma Lookboonmee,10,7,3,0.7,0,1,6,0,0,3,0.0,0.14285714285714285,0.8571428571428571,0.14285714285714285,1,4,3.67,0.55,2.52,0.53,1.81,0.5,0.68,0.1,61.0,61.0,30.1,0.0,,99.0
Rob Font,20,12,8,0.6,6,1,5,0,1,7,0.5,0.08333333333333333,0.4166666666666667,0.5833333333333334,2,4,5.36,0.45,3.7,0.57,0.74,0.3,0.43,0.3,68.0,71.0,38.6,0.0,Bantamweight,12.0
David Martinez,2,2,0,1.0,1,0,1,0,0,0,0.5,0.0,0.5,0.5,2,2,4.85,0.47,2.95,0.68,0.0,0.0,1.0,0.0,65.0,67.0,27.5,0.0,Bantamweight,10.0
Jared Gordon,17,9,8,0.5294117647058824,3,0,6,4,1,2,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,2,3,5.64,0.53,4.14,0.55,1.78,0.32,0.6,0.0,69.0,68.0,37.4,0.0,,99.0
Rafa Garcia,10,6,4,0.6,1,1,4,1,0,3,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.3333333333333333,-2,2,4.31,0.45,4.54,0.61,3.13,0.44,0.76,0.5,67.0,70.0,31.5,0.0,,99.0
Kelvin Gastelum,25,14,11,0.56,3,2,9,1,3,7,0.21428571428571427,0.14285714285714285,0.6428571428571429,0.35714285714285715,5,5,3.67,0.42,3.53,0.57,1.01,0.34,0.6,0.1,69.0,71.0,34.3,1.0,,99.0
Dustin Stoltzfus,10,3,7,0.3,1,1,1,2,2,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,-3,1,3.3,0.45,3.23,0.47,2.08,0.37,0.46,1.1,72.0,75.0,34.3,0.0,,99.0
Alexander Hernandez,17,10,7,0.5882352941176471,5,0,5,3,1,3,0.5,0.0,0.5,0.5,2,4,4.31,0.4,4.5,0.59,1.14,0.36,0.73,0.1,69.0,72.0,33.4,0.0,,99.0
Diego Ferreira,17,10,7,0.5882352941176471,5,2,3,4,0,3,0.5,0.2,0.3,0.7,2,6,4.7,0.39,3.46,0.55,0.82,0.3,0.57,0.6,69.0,74.0,41.1,0.0,,99.0
Santiago Luna,1,1,0,1.0,1,0,0,0,0,0,1.0,0.0,0.0,1.0,1,1,5.36,0.37,4.29,0.5,0.0,0.0,1.0,0.0,69.0,74.0,21.5,0.0,,99.0
Quang Le,4,1,3,0.25,0,1,0,2,0,1,0.0,1.0,0.0,1.0,-2,1,2.82,0.38,4.59,0.49,2.9,0.33,1.0,0.4,67.0,70.0,34.3,0.0,,99.0
Jose Daniel Medina,3,0,3,0.0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,-3,0,2.16,0.36,5.07,0.46,0.4,0.33,0.27,0.0,72.0,74.0,34.8,0.0,,99.0
Dusko Todorovic,10,4,6,0.4,3,1,0,4,0,2,0.75,0.25,0.0,1.0,1,1,4.73,0.57,4.4,0.48,1.77,0.21,0.42,0.3,73.0,74.0,31.7,0.0,,99.0
Joaquim Silva,12,7,5,0.5833333333333334,3,0,4,3,0,2,0.42857142857142855,0.0,0.5714285714285714,0.42857142857142855,3,3,3.43,0.43,4.17,0.53,0.34,0.5,0.7,0.8,68.0,69.0,37.0,1.0,,99.0
Claudio Puelles,9,5,4,0.5555555555555556,0,3,2,2,0,2,0.0,0.6,0.4,0.6,-1,5,1.54,0.46,2.62,0.48,3.29,0.33,0.6,1.0,70.0,72.0,29.8,1.0,,99.0
Tatiana Suarez,9,8,1,0.8888888888888888,1,4,3,0,0,1,0.125,0.5,0.375,0.625,7,7,2.95,0.6,1.58,0.45,4.41,0.43,0.8,0.6,65.0,66.0,35.2,1.0,Women's Pound-for-Pound,12.0
Tatiana Suarez,9,8,1,0.8888888888888888,1,4,3,0,0,1,0.125,0.5,0.375,0.625,7,7,2.95,0.6,1.58,0.45,4.41,0.43,0.8,0.6,65.0,66.0,35.2,1.0,Women's Strawweight,2.0
Amanda Lemos,14,9,5,0.6428571428571429,3,2,4,1,2,2,0.3333333333333333,0.2222222222222222,0.4444444444444444,0.5555555555555556,-1,5,2.75,0.55,3.24,0.45,1.02,0.62,0.64,0.7,64.0,65.0,38.7,1.0,Women's Strawweight,5.0
Jesus Aguilar,6,4,2,0.6666666666666666,1,1,2,0,1,1,0.25,0.25,0.5,0.5,-1,3,2.65,0.4,1.85,0.62,1.64,0.31,0.48,1.4,64.0,62.0,29.9,0.0,,99.0
Luis Gurule,2,0,2,0.0,0,0,0,1,0,1,0.0,0.0,0.0,0.0,-2,0,4.93,0.42,4.53,0.61,0.41,0.09,0.56,0.0,65.0,64.0,32.3,0.0,,99.0
Alden Coria,1,1,0,1.0,1,0,0,0,0,0,1.0,0.0,0.0,1.0,1,1,3.89,0.44,1.11,0.78,2.78,1.0,0.75,0.0,68.0,67.0,27.8,0.0,,99.0
Alessandro Costa,5,2,3,0.4,2,0,0,2,0,1,1.0,0.0,0.0,1.0,-1,1,3.64,0.44,3.57,0.57,0.46,0.16,0.83,0.5,64.0,67.0,30.1,0.0,,99.0
Montse Rendon,3,2,1,0.6666666666666666,0,0,2,0,0,1,0.0,0.0,1.0,0.0,1,1,3.09,0.28,3.42,0.59,2.0,0.37,1.0,0.3,68.0,68.0,36.9,0.0,,99.0
Alice Pereira,1,0,1,0.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-1,0,2.47,0.31,3.0,0.72,0.0,0.0,1.0,0.0,68.0,71.0,20.2,0.0,,99.0
Rodrigo Sezinando,1,0,1,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,-1,0,2.25,0.27,8.76,0.42,3.37,0.25,0.66,0.0,69.0,71.0,28.2,0.0,,99.0
Nassourdine Imavov,12,10,2,0.8333333333333334,4,0,5,0,0,2,0.4,0.0,0.5,0.4,1,6,4.28,0.54,3.17,0.58,0.74,0.32,0.81,1.0,75.0,75.0,30.0,0.0,Middleweight,2.0
Caio Borralho,8,7,1,0.875,1,1,5,0,0,1,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.2857142857142857,7,7,3.44,0.56,2.5,0.6,1.28,0.48,0.76,0.4,73.0,75.0,33.1,1.0,Middleweight,7.0
Paul Craig,21,10,11,0.47619047619047616,3,6,0,6,2,3,0.3,0.6,0.0,0.9,1,4,2.5,0.45,3.04,0.43,1.43,0.18,0.35,1.3,75.0,76.0,38.2,0.0,,99.0
Mason Jones,6,3,3,0.5,1,0,2,0,0,2,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,-2,2,5.71,0.41,4.47,0.5,4.17,0.55,0.81,0.2,70.0,74.0,30.8,0.0,,99.0
Bolaji Oki,4,2,2,0.5,0,0,2,1,1,0,0.0,0.0,1.0,0.0,1,1,6.59,0.44,5.15,0.61,1.01,0.6,0.66,0.0,70.0,73.0,30.3,0.0,,99.0
Rhys McKee,6,1,5,0.16666666666666666,1,0,0,2,0,3,1.0,0.0,0.0,1.0,-4,1,4.71,0.4,7.15,0.47,0.0,0.0,0.47,0.0,74.0,78.0,30.4,0.0,,99.0
Axel Sola,1,1,0,1.0,1,0,0,0,0,0,1.0,0.0,0.0,1.0,1,1,3.74,0.42,2.74,0.75,1.25,0.25,0.0,0.0,74.0,74.0,28.4,1.0,,99.0
Robert Ruchala,1,0,1,0.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-1,0,2.27,0.35,3.27,0.57,2.0,0.33,0.0,0.0,68.0,72.0,27.8,2.0,,99.0
William Gomis,6,5,1,0.8333333333333334,1,0,4,0,0,1,0.2,0.0,0.8,0.2,4,4,3.48,0.49,2.76,0.61,0.86,0.38,0.72,0.3,72.0,73.0,28.7,1.0,,99.0
Brendson Ribeiro,6,2,4,0.3333333333333333,0,1,1,3,0,1,0.0,0.5,0.5,0.5,-2,2,3.06,0.42,4.0,0.53,0.9,0.42,0.18,0.6,75.0,81.0,29.4,0.0,,99.0
Oumar Sy,4,3,1,0.75,1,1,1,0,0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,2,2,3.67,0.48,1.72,0.7,2.73,0.36,1.0,0.4,76.0,83.0,30.2,0.0,,99.0
Marcin Tybura,23,14,9,0.6086956521739131,5,1,8,5,1,3,0.35714285714285715,0.07142857142857142,0.5714285714285714,0.42857142857142855,-1,5,3.59,0.48,3.33,0.55,1.38,0.33,0.75,0.1,75.0,78.0,40.3,0.0,Heavyweight,10.0
Harry Hardwick,1,0,1,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,-1,0,2.39,0.34,7.16,0.4,0.0,0.0,0.0,0.0,68.0,71.0,31.4,2.0,,99.0
Kaue Fernandes,4,3,1,0.75,2,0,1,0,0,1,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,-1,3,4.28,0.55,1.42,0.62,1.18,1.0,0.76,0.0,69.0,73.0,30.9,0.0,,99.0
Sam Patterson,5,4,1,0.8,2,2,0,1,0,0,0.5,0.5,0.0,1.0,-1,4,3.89,0.43,3.93,0.49,1.39,1.0,0.33,2.8,75.0,78.0,29.8,0.0,,99.0
Trey Waters,3,2,1,0.6666666666666666,0,0,2,1,0,0,0.0,0.0,1.0,0.0,2,2,6.39,0.44,5.83,0.55,0.4,0.33,0.85,0.8,77.0,77.0,31.0,0.0,,99.0
Robert Bryczek,2,1,1,0.5,1,0,0,0,0,1,1.0,0.0,0.0,1.0,-1,1,3.74,0.36,4.08,0.59,0.56,1.0,0.85,0.0,72.0,75.0,35.6,0.0,,99.0
Brad Tavares,27,16,11,0.5925925925925926,2,0,14,6,0,5,0.125,0.0,0.875,0.125,2,5,3.42,0.43,3.36,0.54,0.73,0.26,0.81,0.0,73.0,74.0,38.2,0.0,,99.0
Rinat Fakhretdinov,7,7,0,1.0,1,1,5,0,0,0,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.2857142857142857,7,7,5.03,0.52,3.61,0.54,3.91,0.34,0.91,0.2,72.0,74.0,34.4,0.0,,99.0
Andreas Gustafsson,2,1,1,0.5,0,0,1,1,0,0,0.0,0.0,1.0,0.0,1,1,5.82,0.71,3.63,0.45,6.19,0.58,1.0,0.0,73.0,73.0,35.0,0.0,,99.0
Sam Hughes,11,6,5,0.5454545454545454,1,1,4,1,0,4,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.3333333333333333,-3,3,4.34,0.46,4.44,0.58,1.23,0.35,0.6,0.2,65.0,64.0,33.6,0.0,,99.0
Shauna Bannon,4,2,2,0.5,0,1,1,0,1,1,0.0,0.5,0.5,0.5,-1,2,4.32,0.43,3.75,0.45,0.0,0.0,0.4,0.7,65.0,65.0,32.3,2.0,,99.0
Johnny Walker,15,8,7,0.5333333333333333,6,1,1,4,0,2,0.75,0.125,0.125,0.875,3,3,4.06,0.55,3.09,0.45,0.42,0.6,0.57,0.8,78.0,82.0,33.9,0.0,Light Heavyweight,12.0
Zhang Mingyang,4,3,1,0.75,3,0,0,1,0,0,1.0,0.0,0.0,1.0,3,3,7.71,0.6,5.33,0.43,0.0,0.0,0.75,0.0,74.0,75.0,27.5,0.0,Light Heavyweight,14.0
Aljamain Sterling,22,17,5,0.7727272727272727,2,4,10,2,0,3,0.11764705882352941,0.23529411764705882,0.5882352941176471,0.35294117647058826,4,9,4.45,0.52,2.21,0.59,2.45,0.3,0.44,0.6,67.0,71.0,36.5,0.0,Featherweight,5.0
Brian Ortega,14,8,6,0.5714285714285714,3,4,1,2,0,3,0.375,0.5,0.125,0.875,-1,6,3.84,0.37,6.38,0.49,0.93,0.25,0.54,0.9,68.0,69.0,35.0,2.0,Featherweight,9.0
Sergei Pavlovich,11,8,3,0.7272727272727273,6,0,2,2,0,1,0.75,0.0,0.25,0.75,-1,6,4.43,0.44,3.62,0.55,0.48,0.25,0.75,0.0,75.0,84.0,33.8,1.0,Heavyweight,3.0
Sumudaerji,9,5,4,0.5555555555555556,1,0,4,0,3,1,0.2,0.0,0.8,0.2,-1,3,4.48,0.52,2.39,0.6,0.16,0.11,0.71,0.6,68.0,72.0,30.1,1.0,,99.0
Kevin Borjas,4,1,3,0.25,0,0,1,1,0,2,0.0,0.0,1.0,0.0,-2,1,4.19,0.44,5.74,0.49,0.0,0.0,0.71,0.0,65.0,68.0,28.2,0.0,,99.0
Kiefer Crosbie,3,0,3,0.0,0,0,0,1,2,0,0.0,0.0,0.0,0.0,-3,0,4.46,0.64,5.8,0.46,0.0,0.0,0.4,0.0,71.0,70.0,35.9,2.0,,99.0
Taiyilake Nueraji,1,1,0,1.0,1,0,0,0,0,0,1.0,0.0,0.0,1.0,1,1,9.82,0.53,5.01,0.58,1.47,0.33,1.0,0.0,74.0,75.0,25.1,1.0,,99.0
Gauge Young,2,1,1,0.5,0,0,1,0,0,1,0.0,0.0,1.0,0.0,-1,1,5.71,0.51,5.82,0.48,1.0,0.3,0.71,0.0,69.0,70.0,25.6,0.0,,99.0
Maheshate,6,2,4,0.3333333333333333,1,0,1,1,0,3,0.5,0.0,0.5,0.5,1,1,3.96,0.31,5.96,0.51,0.0,0.0,0.47,0.0,72.0,71.0,26.2,0.0,,99.0
Lone'er Kavanagh,3,2,1,0.6666666666666666,0,0,2,1,0,0,0.0,0.0,1.0,0.0,2,2,4.29,0.49,3.69,0.58,1.79,0.5,0.88,0.4,66.0,67.0,26.7,0.0,Flyweight,15.0
Austin Hubbard,12,4,8,0.3333333333333333,1,0,3,0,2,6,0.25,0.0,0.75,0.25,-1,1,3.97,0.42,4.1,0.55,1.63,0.28,0.68,0.1,70.0,71.0,34.2,0.0,,99.0
Rongzhu,6,3,3,0.5,1,0,2,1,1,1,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,-1,2,6.02,0.51,5.44,0.52,1.35,0.62,0.84,0.1,69.0,71.0,25.9,0.0,,99.0
Michel Pereira,14,9,5,0.6428571428571429,2,3,4,2,0,2,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.5555555555555556,1,8,4.49,0.52,4.35,0.51,1.13,0.52,0.76,0.7,73.0,73.0,32.4,0.0,,99.0
Westin Wilson,4,1,3,0.25,0,1,0,3,0,0,0.0,1.0,0.0,1.0,-2,1,1.57,0.31,6.71,0.3,1.57,0.16,0.33,7.9,73.0,73.0,37.1,1.0,,99.0
Xiao Long,3,1,2,0.3333333333333333,1,0,0,0,0,2,1.0,0.0,0.0,1.0,-1,1,5.25,0.46,4.2,0.5,0.69,0.25,0.79,0.0,68.0,70.0,27.8,0.0,,99.0
SuYoung You,3,3,0,1.0,0,0,3,0,0,0,0.0,0.0,1.0,0.0,3,3,2.28,0.46,1.96,0.7,3.8,0.47,0.66,0.4,66.0,65.0,30.2,0.0,,99.0
Uran Satybaldiev,2,1,1,0.5,0,1,0,0,0,1,0.0,1.0,0.0,1.0,-1,1,2.14,0.25,3.66,0.44,0.0,0.0,0.5,1.7,76.0,79.0,31.5,0.0,,99.0
Diyar Nurgozhay,2,0,2,0.0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,-2,0,3.04,0.5,2.99,0.61,2.54,1.0,1.0,0.0,74.0,74.0,28.8,1.0,,99.0
Shi Ming,2,1,1,0.5,1,0,0,0,0,1,1.0,0.0,0.0,1.0,1,1,3.12,0.36,2.92,0.53,0.81,0.3,0.57,0.0,62.0,60.0,31.3,0.0,,99.0
Terrance Saeteurn,1,0,1,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,-1,0,3.82,0.4,3.82,0.52,0.0,0.0,0.0,0.0,66.0,67.0,30.7,0.0,,99.0
Nyamjargal Tumendemberel,2,1,1,0.5,0,1,0,0,0,1,0.0,1.0,0.0,1.0,-1,1,3.18,0.39,3.33,0.52,3.1,0.38,0.54,2.6,67.0,71.0,27.9,0.0,,99.0
Dricus Du Plessis,10,9,1,0.9,4,2,3,0,0,1,0.4444444444444444,0.2222222222222222,0.3333333333333333,0.6666666666666666,9,9,5.18,0.48,4.33,0.52,2.22,0.51,0.34,0.7,73.0,76.0,32.1,2.0,Men's Pound-for-Pound,11.0
Dricus Du Plessis,10,9,1,0.9,4,2,3,0,0,1,0.4444444444444444,0.2222222222222222,0.3333333333333333,0.6666666666666666,9,9,5.18,0.48,4.33,0.52,2.22,0.51,0.34,0.7,73.0,76.0,32.1,2.0,Middleweight,1.0
Khamzat Chimaev,9,9,0,1.0,2,4,3,0,0,0,0.2222222222222222,0.4444444444444444,0.3333333333333333,0.6666666666666666,9,9,4.04,0.6,2.32,0.43,5.29,0.55,0.85,1.8,74.0,75.0,31.8,0.0,Men's Pound-for-Pound,3.0
Khamzat Chimaev,9,9,0,1.0,2,4,3,0,0,0,0.2222222222222222,0.4444444444444444,0.3333333333333333,0.6666666666666666,9,9,4.04,0.6,2.32,0.43,5.29,0.55,0.85,1.8,74.0,75.0,31.8,0.0,Middleweight,0.0
Aaron Pico,1,0,1,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,-1,0,3.88,0.44,2.39,0.5,8.96,0.66,0.0,0.0,68.0,70.0,29.4,0.0,,99.0
Lerone Murphy,10,9,1,0.9,3,0,6,0,0,1,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,-1,9,4.48,0.53,2.51,0.61,1.41,0.54,0.51,0.5,69.0,73.0,34.6,0.0,Featherweight,4.0
Geoff Neal,13,8,5,0.6153846153846154,5,1,2,1,1,3,0.625,0.125,0.25,0.75,5,5,5.05,0.51,5.48,0.57,0.54,0.45,0.87,0.1,71.0,75.0,35.5,1.0,Welterweight,13.0
Michael Page,4,3,1,0.75,0,0,3,0,0,1,0.0,0.0,1.0,0.0,1,2,2.39,0.6,1.68,0.57,0.23,0.16,0.66,0.0,75.0,79.0,38.9,2.0,Middleweight,10.0
Jared Cannonier,20,11,9,0.55,7,0,4,3,0,6,0.6363636363636364,0.0,0.36363636363636365,0.6363636363636364,-1,3,4.42,0.49,4.35,0.56,0.54,0.4,0.64,0.0,71.0,77.0,41.9,2.0,Middleweight,10.0
Kai Asakura,2,0,2,0.0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,-2,0,2.27,0.32,3.53,0.52,0.0,0.0,0.5,0.0,68.0,69.0,32.3,0.0,,99.0
Tim Elliott,21,10,11,0.47619047619047616,0,3,7,0,5,6,0.0,0.3,0.7,0.3,-1,2,3.37,0.44,2.65,0.57,3.71,0.47,0.59,1.1,67.0,66.0,39.1,1.0,Flyweight,9.0
Eric Nolan,1,0,1,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,-1,0,3.14,0.39,5.13,0.41,0.0,0.0,0.71,0.0,74.0,74.0,28.4,0.0,,99.0
Loopy Godinez,14,9,5,0.6428571428571429,0,2,7,0,0,5,0.0,0.2222222222222222,0.7777777777777778,0.2222222222222222,-1,4,4.51,0.49,4.03,0.62,2.96,0.41,0.81,0.9,62.0,61.0,32.4,0.0,Women's Strawweight,6.0
Jessica Andrade,30,17,13,0.5666666666666667,6,3,8,4,5,4,0.35294117647058826,0.17647058823529413,0.47058823529411764,0.5294117647058824,-1,4,6.37,0.48,5.58,0.54,2.1,0.54,0.75,0.3,61.0,62.0,34.4,0.0,Women's Strawweight,9.0
Chase Hooper,12,8,4,0.6666666666666666,2,4,2,2,0,2,0.25,0.5,0.25,0.75,1,5,4.51,0.49,2.98,0.39,2.49,0.33,0.55,2.1,73.0,74.0,26.4,1.0,,99.0
Drakkar Klose,13,10,3,0.7692307692307693,2,0,8,2,0,1,0.2,0.0,0.8,0.2,2,4,4.25,0.55,3.65,0.49,1.49,0.26,0.69,0.0,69.0,70.0,37.9,0.0,,99.0
Dione Barbosa,4,2,2,0.5,0,1,1,0,0,2,0.0,0.5,0.5,0.5,1,1,2.27,0.45,2.45,0.66,2.23,0.42,0.5,1.9,66.0,66.0,33.8,0.0,,99.0
